"subjectID","wave","task","maxFD"
"TAG001",2,"DSD",0.56772002
"TAG001",2,"rest",0.39570711
"TAG001",2,"SVC",0.4067928
"TAG002",2,"rest",0.8420164
"TAG002",2,"SVC",5.36927445
"TAG004",2,"DSD",9.0332155
"TAG004",2,"rest",1.3079217
"TAG004",2,"SVC",2.0232067
"TAG005",2,"DSD",2.2218728
"TAG005",2,"rest",1.0290371
"TAG005",2,"SVC",1.0851572
"TAG007",2,"DSD",0.61486355
"TAG007",2,"rest",0.70847395
"TAG007",2,"SVC",0.8483278
"TAG008",2,"DSD",31.1574105
"TAG008",2,"rest",5.2114714
"TAG008",2,"SVC",11.2769555
"TAG009",2,"rest",1.06882074
"TAG010",2,"DSD",0.38034355
"TAG010",2,"rest",0.3121265
"TAG010",2,"SVC",0.286901015
"TAG014",2,"DSD",0.56927929
"TAG014",2,"rest",1.23407995
"TAG014",2,"SVC",13.435284
"TAG015",2,"DSD",1.09335117
"TAG015",2,"rest",0.4684956
"TAG015",2,"SVC",1.0786299985
"TAG016",2,"DSD",0.893752945
"TAG016",2,"rest",0.425003
"TAG016",2,"SVC",0.57810446
"TAG017",2,"DSD",2.1649713
"TAG017",2,"rest",0.5460056
"TAG017",2,"SVC",2.7430555
"TAG018",2,"DSD",0.87871312
"TAG018",2,"rest",0.73055607
"TAG018",2,"SVC",4.6855457
"TAG019",2,"DSD",1.3930331
"TAG019",2,"rest",0.828184785
"TAG019",2,"SVC",1.73020955
"TAG020",2,"DSD",1.2400517
"TAG020",2,"rest",1.4800542
"TAG020",2,"SVC",7.230364
"TAG022",2,"DSD",0.4513309
"TAG022",2,"rest",1.4781446
"TAG022",2,"SVC",0.3807882
"TAG024",2,"DSD",0.2620234
"TAG024",2,"rest",0.54064391
"TAG024",2,"SVC",4.07170247
"TAG026",2,"DSD",1.2835221
"TAG026",2,"rest",0.5349173
"TAG026",2,"SVC",0.42091755
"TAG027",2,"DSD",0.9954254
"TAG027",2,"rest",0.463520239
"TAG027",2,"SVC",0.7088146
"TAG028",2,"DSD",2.20380277
"TAG028",2,"rest",0.8708478
"TAG028",2,"SVC",8.3944818
"TAG030",2,"DSD",1.06218998
"TAG030",2,"rest",3.16462165
"TAG030",2,"SVC",8.0354485
"TAG033",2,"DSD",0.3825422
"TAG033",2,"rest",0.9219222
"TAG033",2,"SVC",0.3891926
"TAG034",2,"DSD",0.42949286
"TAG034",2,"rest",0.77819195
"TAG034",2,"SVC",0.3207815
"TAG035",2,"DSD",1.37277681
"TAG035",2,"rest",0.56070662
"TAG035",2,"SVC",1.1461744
"TAG036",2,"DSD",0.46873637
"TAG036",2,"rest",0.35509155
"TAG036",2,"SVC",0.6340245
"TAG037",2,"DSD",0.5729556
"TAG037",2,"rest",2.8159836
"TAG037",2,"SVC",0.425967345
"TAG038",2,"DSD",4.8482181
"TAG038",2,"rest",0.97346725
"TAG038",2,"SVC",1.8349288
"TAG040",2,"DSD",0.5356487
"TAG040",2,"rest",0.60987185
"TAG040",2,"SVC",1.86474326
"TAG041",2,"DSD",0.2992390424
"TAG041",2,"rest",0.178826186
"TAG041",2,"SVC",0.385948185
"TAG042",2,"DSD",0.7583745
"TAG042",2,"rest",0.9453795
"TAG042",2,"SVC",0.454634
"TAG045",2,"DSD",3.0938648
"TAG045",2,"rest",0.5053332
"TAG045",2,"SVC",0.85535095
"TAG046",2,"DSD",5.1261592
"TAG046",2,"rest",1.44821267
"TAG046",2,"SVC",1.8694994
"TAG047",2,"DSD",15.136259
"TAG047",2,"rest",6.888247
"TAG047",2,"SVC",12.132502
"TAG048",2,"DSD",0.75250925
"TAG048",2,"rest",0.52529575
"TAG048",2,"SVC",1.26373165
"TAG049",2,"DSD",1.43174411
"TAG049",2,"rest",0.767491505
"TAG049",2,"SVC",1.9952839
"TAG050",2,"DSD",1.3216487
"TAG050",2,"rest",0.23992726
"TAG050",2,"SVC",0.56006208
"TAG051",2,"DSD",1.5916596
"TAG051",2,"rest",0.25249949
"TAG051",2,"SVC",1.44731165
"TAG052",2,"DSD",7.065609
"TAG052",2,"rest",1.02747865
"TAG052",2,"SVC",5.6252666
"TAG053",2,"DSD",2.6023851
"TAG053",2,"rest",0.52550713
"TAG053",2,"SVC",1.1877038
"TAG056",2,"DSD",0.5248419
"TAG056",2,"SVC",0.57629085
"TAG057",2,"DSD",10.9141515
"TAG057",2,"rest",3.3477512
"TAG057",2,"SVC",3.20033401
"TAG058",2,"DSD",0.408078021
"TAG058",2,"rest",0.64785171
"TAG058",2,"SVC",0.27468778
"TAG059",2,"DSD",2.8769863
"TAG059",2,"rest",0.6517784
"TAG059",2,"SVC",0.50289526
"TAG062",2,"DSD",1.05410465
"TAG062",2,"rest",0.40817757
"TAG062",2,"SVC",1.5792692
"TAG064",2,"DSD",3.3752536
"TAG064",2,"rest",0.86798285
"TAG064",2,"SVC",0.3307165
"TAG065",2,"DSD",1.1389509
"TAG065",2,"rest",0.82202748
"TAG065",2,"SVC",0.45328924
"TAG066",2,"DSD",0.8871139
"TAG066",2,"rest",0.5278348
"TAG066",2,"SVC",0.6118455
"TAG067",2,"DSD",1.4850491
"TAG067",2,"rest",0.4205271
"TAG067",2,"SVC",0.79464505
"TAG068",2,"DSD",1.75411612
"TAG068",2,"rest",1.508352
"TAG068",2,"SVC",1.31782818
"TAG069",2,"DSD",0.9622539
"TAG069",2,"rest",0.6217221
"TAG069",2,"SVC",0.4607191
"TAG070",2,"DSD",3.4086491
"TAG070",2,"rest",1.0117759
"TAG070",2,"SVC",0.56506145
"TAG071",2,"DSD",0.949430095
"TAG071",2,"rest",0.293130732
"TAG071",2,"SVC",0.41013741
"TAG072",2,"DSD",1.4175901
"TAG072",2,"rest",2.1318546
"TAG072",2,"SVC",0.4921175
"TAG073",2,"DSD",2.2683024
"TAG073",2,"rest",0.16707735
"TAG073",2,"SVC",0.90094505
"TAG074",2,"DSD",4.25281085
"TAG074",2,"rest",0.3466675
"TAG074",2,"SVC",0.766965635
"TAG075",2,"DSD",0.586996685
"TAG075",2,"rest",0.22635312
"TAG075",2,"SVC",0.4300762
"TAG076",2,"DSD",2.63772335
"TAG076",2,"rest",2.5798416
"TAG076",2,"SVC",0.476331215
"TAG077",2,"DSD",3.97085631
"TAG077",2,"rest",4.144075
"TAG077",2,"SVC",1.45255375
"TAG078",2,"DSD",5.175352
"TAG078",2,"rest",1.9497656
"TAG078",2,"SVC",1.442965
"TAG080",2,"DSD",0.59088061
"TAG080",2,"rest",0.84305654
"TAG080",2,"SVC",1.9174402
"TAG081",2,"DSD",10.96141492
"TAG081",2,"rest",1.07314385
"TAG081",2,"SVC",2.12886256
"TAG084",2,"DSD",6.2430016275
"TAG084",2,"rest",0.5245707
"TAG084",2,"SVC",1.2869193
"TAG085",2,"DSD",0.50351345
"TAG085",2,"rest",0.4733189
"TAG085",2,"SVC",0.5059975
"TAG086",2,"DSD",4.1931185
"TAG086",2,"rest",3.0268689631
"TAG086",2,"SVC",6.92393475
"TAG087",2,"rest",0.50148915
"TAG087",2,"SVC",0.67339012
"TAG088",2,"DSD",1.7316324
"TAG088",2,"rest",1.0416999
"TAG088",2,"SVC",0.65777105
"TAG089",2,"rest",8.595102
"TAG089",2,"SVC",4.5804814
"TAG090",2,"DSD",2.0432001
"TAG090",2,"rest",1.5143346
"TAG090",2,"SVC",3.75516628
"TAG091",2,"DSD",0.293424995
"TAG091",2,"rest",0.26098925
"TAG091",2,"SVC",0.3711534
"TAG093",2,"DSD",3.2726299
"TAG093",2,"rest",2.4827137
"TAG093",2,"SVC",1.935446023
"TAG094",2,"DSD",1.02339152
"TAG094",2,"rest",0.32914723
"TAG094",2,"SVC",0.44509338
"TAG095",2,"DSD",1.42247515
"TAG095",2,"rest",0.51863372
"TAG095",2,"SVC",0.637033
"TAG099",2,"DSD",5.4512438
"TAG099",2,"rest",0.645060115
"TAG099",2,"SVC",6.0408848
"TAG101",2,"DSD",1.625774
"TAG101",2,"rest",0.781613282
"TAG101",2,"SVC",2.349767035
"TAG103",2,"DSD",0.68657036
"TAG103",2,"rest",0.53526956
"TAG103",2,"SVC",1.14296816
"TAG104",2,"DSD",0.7154133829
"TAG104",2,"rest",0.4060721
"TAG104",2,"SVC",0.68514145
"TAG105",2,"DSD",7.6905716
"TAG105",2,"rest",2.59667187
"TAG105",2,"SVC",2.8832146
"TAG106",2,"rest",1.6566205
"TAG107",2,"DSD",2.8488959
"TAG107",2,"rest",1.85180755
"TAG107",2,"SVC",3.8387595
"TAG110",2,"DSD",1.4916715
"TAG110",2,"rest",0.46597597
"TAG110",2,"SVC",1.3034067
"TAG111",2,"DSD",0.5736756
"TAG111",2,"rest",1.253932254
"TAG111",2,"SVC",0.32937531
"TAG112",2,"DSD",2.73182194
"TAG112",2,"rest",0.45459575
"TAG112",2,"SVC",0.423287053
"TAG113",2,"DSD",5.66134
"TAG113",2,"rest",8.1031335
"TAG113",2,"SVC",11.1024769
"TAG114",2,"DSD",1.8972429
"TAG114",2,"rest",0.6132959
"TAG114",2,"SVC",1.174640175
"TAG117",2,"DSD",3.12585694
"TAG117",2,"rest",1.40189213
"TAG117",2,"SVC",3.117193165
"TAG119",2,"DSD",1.6068722
"TAG119",2,"rest",0.6802868
"TAG119",2,"SVC",1.4933489
"TAG120",2,"DSD",2.41432665
"TAG120",2,"rest",0.5222331
"TAG120",2,"SVC",0.64643068
"TAG122",2,"DSD",1.723088
"TAG122",2,"rest",5.4613925
"TAG122",2,"SVC",1.812436
"TAG124",2,"DSD",4.10502204
"TAG124",2,"rest",0.60246385
"TAG124",2,"SVC",0.4670005
"TAG125",2,"DSD",3.1973015
"TAG125",2,"rest",1.253253
"TAG125",2,"SVC",0.6644993
"TAG130",2,"DSD",5.0182895
"TAG130",2,"rest",0.6647884
"TAG130",2,"SVC",2.157597
"TAG131",2,"DSD",1.93064561
"TAG131",2,"rest",23.9090068
"TAG131",2,"SVC",1.640427841
"TAG132",2,"DSD",0.7395544
"TAG132",2,"rest",0.6522587
"TAG132",2,"SVC",0.6618258
"TAG138",2,"DSD",0.9340741
"TAG138",2,"rest",0.55305375
"TAG138",2,"SVC",0.5547608
"TAG140",2,"DSD",0.39289061
"TAG140",2,"rest",0.328870085
"TAG140",2,"SVC",0.30680726
"TAG141",2,"DSD",1.703442
"TAG141",2,"rest",1.13894185
"TAG141",2,"SVC",0.98301825
"TAG143",2,"DSD",7.0030633
"TAG143",2,"rest",0.59256895
"TAG143",2,"SVC",2.844961013
"TAG144",2,"DSD",3.99544465
"TAG144",2,"rest",0.83267735
"TAG144",2,"SVC",0.441981565
"TAG149",2,"DSD",0.425736952
"TAG149",2,"rest",0.7831563
"TAG149",2,"SVC",1.39187105
"TAG155",2,"DSD",0.3957796
"TAG155",2,"rest",0.3598981
"TAG155",2,"SVC",3.02483715
"TAG159",2,"DSD",3.820259
"TAG159",2,"rest",0.5610205
"TAG159",2,"SVC",1.02276945
"TAG160",2,"DSD",4.681333305
"TAG160",2,"rest",6.64908717
"TAG160",2,"SVC",3.67277725
"TAG164",2,"DSD",1.58334591
"TAG164",2,"rest",1.6131034
"TAG164",2,"SVC",1.1576949
"TAG166",2,"DSD",0.644265452
"TAG166",2,"rest",0.6628171
"TAG166",2,"SVC",0.5793032
"TAG167",2,"DSD",1.2649282
"TAG167",2,"rest",0.490268925
"TAG167",2,"SVC",1.1725749
"TAG169",2,"DSD",1.2430857
"TAG169",2,"rest",0.606001504
"TAG169",2,"SVC",1.9669923
"TAG173",2,"DSD",1.23791025
"TAG173",2,"rest",0.35133541
"TAG173",2,"SVC",0.6105588
"TAG175",2,"DSD",8.4652775
"TAG175",2,"rest",4.1704094
"TAG175",2,"SVC",4.1944048
"TAG176",2,"DSD",5.06612135
"TAG176",2,"rest",6.5658915
"TAG176",2,"SVC",7.5862279
"TAG177",2,"DSD",4.1690971
"TAG177",2,"rest",4.02257975
"TAG177",2,"SVC",6.41601725
"TAG179",2,"DSD",31.363145
"TAG179",2,"rest",4.0585835
"TAG179",2,"SVC",1.827240175
"TAG180",2,"DSD",1.071855
"TAG180",2,"rest",0.31629041
"TAG180",2,"SVC",1.48249525
"TAG181",2,"DSD",1.06537211
"TAG181",2,"rest",0.4094795
"TAG181",2,"SVC",1.56764951
"TAG186",2,"DSD",2.1897443
"TAG186",2,"rest",0.66115005
"TAG186",2,"SVC",1.36989735
"TAG188",2,"DSD",7.4381628
"TAG188",2,"rest",3.1375675649
"TAG188",2,"SVC",15.099908885
"TAG190",2,"DSD",1.91364595
"TAG190",2,"rest",5.1801561
"TAG190",2,"SVC",22.315131
"TAG194",2,"DSD",1.19968929
"TAG194",2,"rest",1.069814635
"TAG194",2,"SVC",0.924392
"TAG200",2,"DSD",1.363417289
"TAG200",2,"rest",0.20888724
"TAG200",2,"SVC",1.970045588
"TAG202",2,"DSD",2.4700735
"TAG202",2,"rest",0.90612637
"TAG202",2,"SVC",1.5345454
"TAG203",2,"DSD",1.5406867
"TAG203",2,"rest",1.18206935
"TAG203",2,"SVC",1.266570075
"TAG205",2,"DSD",2.1341064
"TAG205",2,"rest",1.23986552
"TAG205",2,"SVC",1.501092545
"TAG206",2,"DSD",2.8085229
"TAG206",2,"rest",0.63436035
"TAG206",2,"SVC",0.807263835
"TAG207",2,"DSD",0.4028847
"TAG207",2,"rest",1.44048875
"TAG207",2,"SVC",0.3246943
"TAG208",2,"DSD",2.739704
"TAG208",2,"rest",1.44745013
"TAG208",2,"SVC",5.3615808
"TAG209",2,"DSD",1.624710848
"TAG209",2,"rest",0.99386134
"TAG209",2,"SVC",1.3192806
"TAG211",2,"SVC",7.342677
"TAG215",2,"DSD",4.082220395
"TAG215",2,"rest",0.9154743
"TAG215",2,"SVC",0.784289175
"TAG218",2,"DSD",0.7162733
"TAG218",2,"rest",0.394008203
"TAG218",2,"SVC",0.39849135
"TAG220",2,"DSD",0.9806324
"TAG220",2,"rest",0.3053031
"TAG220",2,"SVC",0.4166263
"TAG221",2,"DSD",1.0635346
"TAG221",2,"rest",1.467687
"TAG221",2,"SVC",1.74382171
"TAG223",2,"DSD",0.62464225
"TAG223",2,"rest",0.69825406
"TAG223",2,"SVC",0.46548669
"TAG224",2,"DSD",0.67031775
"TAG224",2,"rest",1.07763987
"TAG224",2,"SVC",1.36722137
"TAG225",2,"DSD",5.29342965
"TAG225",2,"rest",0.66765419
"TAG225",2,"SVC",2.1278993
"TAG232",2,"DSD",1.3754285
"TAG232",2,"rest",0.8260624
"TAG232",2,"SVC",3.10816833
"TAG238",2,"DSD",0.956186855
"TAG238",2,"rest",0.90200115
"TAG238",2,"SVC",1.2375109
"TAG243",2,"DSD",2.2429926
"TAG243",2,"rest",0.3178906
"TAG243",2,"SVC",1.07974505
"TAG244",2,"DSD",3.82103155
"TAG244",2,"rest",3.73957054
"TAG244",2,"SVC",5.0053587
"TAG247",2,"DSD",3.261374325
"TAG247",2,"rest",0.58007623
"TAG247",2,"SVC",1.55127715
"TAG250",2,"DSD",8.207275
"TAG250",2,"rest",0.5165329
"TAG250",2,"SVC",1.85995169
"TAG252",2,"DSD",1.3894156825
"TAG252",2,"rest",0.324095285
"TAG252",2,"SVC",1.90297745
"TAG253",2,"DSD",7.695699
"TAG253",2,"rest",3.2814809
"TAG253",2,"SVC",5.01867755
"TAG261",2,"DSD",17.7968725
"TAG261",2,"rest",2.42816355
"TAG261",2,"SVC",2.8337103
"TAG266",2,"DSD",0.9938925
"TAG266",2,"rest",0.25848538
"TAG266",2,"SVC",0.46627451
