"subjectID","wave","task","run","nVols","percent"
"TAG001",1,"DSD",1,2,0.9
"TAG001",1,"DSD",2,0,0
"TAG001",1,"SVC",1,0,0
"TAG001",1,"SVC",2,1,0.6
"TAG002",1,"DSD",1,20,8.9
"TAG002",1,"DSD",2,103,45.8
"TAG002",1,"SVC",1,0,0
"TAG002",1,"SVC",2,12,6.7
"TAG004",1,"DSD",1,35,15.6
"TAG004",1,"DSD",2,57,25.3
"TAG004",1,"SVC",1,22,12.2
"TAG004",1,"SVC",2,84,48
"TAG005",1,"DSD",1,3,1.3
"TAG005",1,"DSD",2,2,1.1
"TAG005",1,"SVC",1,1,0.6
"TAG005",1,"SVC",2,0,0
"TAG006",1,"SVC",1,65,36.1
"TAG007",1,"DSD",1,15,6.7
"TAG007",1,"DSD",2,20,8.9
"TAG007",1,"SVC",1,5,2.8
"TAG007",1,"SVC",2,6,3.3
"TAG008",1,"DSD",1,20,13.8
"TAG008",1,"DSD",2,28,12.4
"TAG008",1,"SVC",1,35,19.4
"TAG008",1,"SVC",2,16,8.9
"TAG010",1,"DSD",1,2,0.9
"TAG010",1,"DSD",2,1,0.4
"TAG010",1,"SVC",1,3,1.7
"TAG010",1,"SVC",2,6,3.3
"TAG011",1,"DSD",1,1,0.4
"TAG011",1,"DSD",2,5,2.2
"TAG011",1,"SVC",1,0,0
"TAG011",1,"SVC",2,3,1.7
"TAG012",1,"DSD",1,4,1.8
"TAG012",1,"DSD",2,11,4.9
"TAG012",1,"SVC",1,1,0.6
"TAG012",1,"SVC",2,4,2.2
"TAG013",1,"DSD",1,3,1.3
"TAG013",1,"DSD",2,16,7.1
"TAG013",1,"SVC",1,0,0
"TAG013",1,"SVC",2,4,2.2
"TAG014",1,"DSD",1,15,6.7
"TAG014",1,"DSD",2,64,28.4
"TAG014",1,"SVC",1,0,0
"TAG014",1,"SVC",2,6,3.3
"TAG015",1,"DSD",1,12,5.3
"TAG015",1,"DSD",2,4,1.8
"TAG015",1,"SVC",1,0,0
"TAG015",1,"SVC",2,0,0
"TAG016",1,"DSD",1,1,0.4
"TAG016",1,"DSD",2,6,2.7
"TAG016",1,"SVC",1,0,0
"TAG016",1,"SVC",2,2,1.1
"TAG018",1,"DSD",1,43,19.6
"TAG018",1,"DSD",2,42,18.7
"TAG018",1,"SVC",1,30,16.7
"TAG018",1,"SVC",2,50,27.8
"TAG019",1,"DSD",1,12,5.3
"TAG019",1,"DSD",2,21,9.3
"TAG019",1,"SVC",1,11,6.1
"TAG019",1,"SVC",2,15,8.3
"TAG020",1,"DSD",1,3,1.3
"TAG020",1,"DSD",2,7,3.1
"TAG020",1,"SVC",1,0,0
"TAG020",1,"SVC",2,8,4.4
"TAG022",1,"DSD",1,2,0.9
"TAG022",1,"DSD",2,25,11.1
"TAG022",1,"SVC",1,0,0
"TAG022",1,"SVC",2,3,1.7
"TAG023",1,"DSD",1,13,5.8
"TAG023",1,"DSD",2,17,7.6
"TAG023",1,"SVC",1,7,3.9
"TAG023",1,"SVC",2,1,0.6
"TAG024",1,"DSD",1,38,16.9
"TAG024",1,"SVC",1,10,5.6
"TAG024",1,"SVC",2,30,16.7
"TAG026",1,"DSD",1,0,0
"TAG026",1,"DSD",2,10,4.4
"TAG026",1,"SVC",1,1,0.6
"TAG026",1,"SVC",2,5,2.8
"TAG027",1,"DSD",1,28,12.4
"TAG027",1,"DSD",2,13,5.8
"TAG027",1,"SVC",1,10,5.6
"TAG027",1,"SVC",2,30,16.7
"TAG028",1,"SVC",2,42,23.5
"TAG029",1,"DSD",1,2,0.9
"TAG029",1,"DSD",2,1,0.4
"TAG029",1,"SVC",1,0,0
"TAG029",1,"SVC",2,1,0.6
"TAG030",1,"DSD",1,11,4.9
"TAG030",1,"DSD",2,13,5.8
"TAG030",1,"SVC",1,4,2.2
"TAG030",1,"SVC",2,0,0
"TAG032",1,"DSD",1,0,0
"TAG032",1,"DSD",2,0,0
"TAG032",1,"SVC",1,0,0
"TAG032",1,"SVC",2,0,0
"TAG033",1,"DSD",1,0,0
"TAG033",1,"DSD",2,0,0
"TAG033",1,"SVC",1,0,0
"TAG033",1,"SVC",2,1,0.6
"TAG034",1,"DSD",1,0,0
"TAG034",1,"DSD",2,2,0.9
"TAG034",1,"SVC",1,0,0
"TAG034",1,"SVC",2,0,0
"TAG035",1,"DSD",1,6,2.7
"TAG035",1,"DSD",2,10,4.4
"TAG035",1,"SVC",1,0,0
"TAG035",1,"SVC",2,0,0
"TAG036",1,"DSD",1,0,0
"TAG036",1,"DSD",2,2,0.9
"TAG036",1,"SVC",1,4,2.2
"TAG036",1,"SVC",2,7,3.9
"TAG037",1,"DSD",1,0,0
"TAG037",1,"DSD",2,2,0.9
"TAG037",1,"SVC",1,0,0
"TAG037",1,"SVC",2,0,0
"TAG038",1,"DSD",1,19,8.4
"TAG038",1,"DSD",2,14,6.2
"TAG038",1,"SVC",1,12,6.7
"TAG038",1,"SVC",2,21,11.7
"TAG040",1,"DSD",1,40,17.8
"TAG040",1,"DSD",2,30,13.3
"TAG040",1,"SVC",1,11,6.1
"TAG040",1,"SVC",2,3,1.7
"TAG041",1,"DSD",1,0,0
"TAG041",1,"DSD",2,1,0.4
"TAG041",1,"SVC",1,3,1.7
"TAG041",1,"SVC",2,2,1.1
"TAG042",1,"DSD",1,1,0.4
"TAG042",1,"DSD",2,3,1.3
"TAG042",1,"SVC",1,0,0
"TAG042",1,"SVC",2,0,0
"TAG044",1,"DSD",1,38,17.1
"TAG044",1,"DSD",2,49,28.3
"TAG044",1,"SVC",1,17,9.4
"TAG044",1,"SVC",2,11,6.3
"TAG045",1,"DSD",1,2,0.9
"TAG045",1,"DSD",2,25,28.4
"TAG045",1,"SVC",1,7,3.9
"TAG045",1,"SVC",2,21,11.7
"TAG046",1,"DSD",1,43,19.1
"TAG046",1,"DSD",2,28,12.4
"TAG046",1,"SVC",1,17,9.4
"TAG046",1,"SVC",2,8,4.4
"TAG047",1,"DSD",1,41,18.2
"TAG047",1,"DSD",2,56,56
"TAG047",1,"SVC",1,20,11.1
"TAG047",1,"SVC",2,30,16.7
"TAG048",1,"DSD",1,19,8.4
"TAG048",1,"DSD",2,15,6.7
"TAG048",1,"SVC",1,4,2.2
"TAG048",1,"SVC",2,2,1.1
"TAG049",1,"DSD",1,9,4
"TAG049",1,"DSD",2,35,15.6
"TAG049",1,"SVC",1,26,14.4
"TAG049",1,"SVC",2,20,27.4
"TAG050",1,"DSD",1,0,0
"TAG050",1,"DSD",2,0,0
"TAG050",1,"SVC",1,0,0
"TAG050",1,"SVC",2,0,0
"TAG051",1,"DSD",1,3,1.3
"TAG051",1,"DSD",2,8,3.6
"TAG051",1,"SVC",1,2,1.1
"TAG051",1,"SVC",2,3,1.7
"TAG052",1,"DSD",1,26,11.6
"TAG052",1,"DSD",2,28,12.4
"TAG052",1,"SVC",1,17,9.4
"TAG052",1,"SVC",2,11,6.1
"TAG053",1,"DSD",1,3,1.3
"TAG053",1,"DSD",2,4,1.8
"TAG053",1,"SVC",1,11,6.1
"TAG053",1,"SVC",2,2,1.1
"TAG054",1,"DSD",1,8,3.6
"TAG054",1,"DSD",2,8,3.6
"TAG054",1,"SVC",1,1,0.6
"TAG054",1,"SVC",2,5,2.8
"TAG055",1,"DSD",1,0,0
"TAG055",1,"DSD",2,2,0.9
"TAG055",1,"SVC",1,1,0.6
"TAG055",1,"SVC",2,2,1.1
"TAG056",1,"DSD",1,8,3.6
"TAG056",1,"DSD",2,5,2.2
"TAG056",1,"SVC",1,1,0.6
"TAG056",1,"SVC",2,3,1.7
"TAG057",1,"DSD",1,89,39.6
"TAG057",1,"DSD",2,110,48.9
"TAG057",1,"SVC",1,32,17.8
"TAG057",1,"SVC",2,12,6.7
"TAG058",1,"DSD",1,224,99.6
"TAG058",1,"DSD",2,224,99.6
"TAG058",1,"SVC",1,180,100
"TAG058",1,"SVC",2,179,99.4
"TAG059",1,"DSD",1,3,1.3
"TAG059",1,"DSD",2,15,6.7
"TAG059",1,"SVC",1,2,1.1
"TAG059",1,"SVC",2,28,15.6
"TAG060",1,"DSD",1,2,0.9
"TAG060",1,"DSD",2,1,0.4
"TAG060",1,"SVC",1,0,0
"TAG060",1,"SVC",2,3,1.7
"TAG062",1,"DSD",1,13,5.8
"TAG062",1,"DSD",2,58,25.8
"TAG062",1,"SVC",1,19,10.6
"TAG062",1,"SVC",2,20,11.1
"TAG064",1,"DSD",1,61,27.1
"TAG064",1,"DSD",2,55,24.4
"TAG064",1,"SVC",1,0,0
"TAG064",1,"SVC",2,18,10
"TAG065",1,"DSD",1,12,5.3
"TAG065",1,"DSD",2,1,0.4
"TAG065",1,"SVC",1,2,1.1
"TAG065",1,"SVC",2,0,0
"TAG066",1,"DSD",1,13,5.8
"TAG066",1,"DSD",2,6,2.7
"TAG066",1,"SVC",1,5,2.8
"TAG066",1,"SVC",2,7,3.9
"TAG067",1,"DSD",1,9,4
"TAG067",1,"DSD",2,1,0.4
"TAG067",1,"SVC",1,2,1.1
"TAG067",1,"SVC",2,3,1.7
"TAG068",1,"DSD",1,0,0
"TAG068",1,"DSD",2,1,0.4
"TAG068",1,"SVC",1,1,0.6
"TAG068",1,"SVC",2,0,0
"TAG069",1,"DSD",1,1,0.4
"TAG069",1,"DSD",2,0,0
"TAG069",1,"SVC",1,0,0
"TAG069",1,"SVC",2,1,0.6
"TAG070",1,"DSD",1,4,1.8
"TAG070",1,"DSD",2,12,5.3
"TAG070",1,"SVC",1,0,0
"TAG070",1,"SVC",2,0,0
"TAG071",1,"DSD",1,19,8.4
"TAG071",1,"DSD",2,29,12.9
"TAG071",1,"SVC",1,0,0
"TAG071",1,"SVC",2,27,15
"TAG072",1,"DSD",1,6,2.7
"TAG072",1,"DSD",2,10,4.4
"TAG072",1,"SVC",1,0,0
"TAG072",1,"SVC",2,1,0.6
"TAG074",1,"DSD",1,1,0.4
"TAG074",1,"DSD",2,11,4.9
"TAG074",1,"SVC",1,0,0
"TAG074",1,"SVC",2,0,0
"TAG075",1,"DSD",1,0,0
"TAG075",1,"DSD",2,6,2.7
"TAG075",1,"SVC",1,0,0
"TAG075",1,"SVC",2,3,1.7
"TAG076",1,"DSD",1,16,7.1
"TAG076",1,"DSD",2,31,13.8
"TAG076",1,"SVC",1,0,0
"TAG076",1,"SVC",2,17,9.4
"TAG077",1,"DSD",1,22,9.8
"TAG077",1,"DSD",2,50,22.2
"TAG077",1,"SVC",1,23,12.8
"TAG077",1,"SVC",2,19,10.6
"TAG078",1,"DSD",1,18,8
"TAG078",1,"DSD",2,19,8.4
"TAG078",1,"SVC",1,23,12.8
"TAG078",1,"SVC",2,26,14.4
"TAG080",1,"DSD",1,0,0
"TAG080",1,"DSD",2,1,0.4
"TAG080",1,"SVC",1,4,2.2
"TAG080",1,"SVC",2,0,0
"TAG081",1,"DSD",1,2,0.9
"TAG081",1,"DSD",2,5,2.2
"TAG081",1,"SVC",1,1,0.6
"TAG081",1,"SVC",2,5,2.8
"TAG083",1,"SVC",1,34,18.9
"TAG083",1,"SVC",2,43,23.9
"TAG084",1,"DSD",1,31,13.8
"TAG084",1,"DSD",2,35,15.6
"TAG084",1,"SVC",1,17,9.4
"TAG084",1,"SVC",2,19,10.6
"TAG085",1,"DSD",1,0,0
"TAG085",1,"DSD",2,0,0
"TAG085",1,"SVC",1,0,0
"TAG085",1,"SVC",2,0,0
"TAG086",1,"DSD",1,8,3.6
"TAG086",1,"DSD",2,18,8
"TAG086",1,"SVC",1,0,0
"TAG086",1,"SVC",2,10,5.6
"TAG087",1,"DSD",1,0,0
"TAG087",1,"DSD",2,2,0.9
"TAG087",1,"SVC",1,0,0
"TAG087",1,"SVC",2,0,0
"TAG088",1,"DSD",1,9,4
"TAG088",1,"DSD",2,19,8.4
"TAG088",1,"SVC",1,2,1.1
"TAG088",1,"SVC",2,8,4.4
"TAG089",1,"DSD",1,43,19.1
"TAG089",1,"DSD",2,52,23.1
"TAG089",1,"SVC",1,25,13.9
"TAG089",1,"SVC",2,39,21.7
"TAG090",1,"DSD",1,5,2.2
"TAG090",1,"DSD",2,4,1.8
"TAG090",1,"SVC",1,3,1.7
"TAG090",1,"SVC",2,3,1.7
"TAG091",1,"DSD",1,1,0.4
"TAG091",1,"DSD",2,0,0
"TAG091",1,"SVC",1,2,1.1
"TAG091",1,"SVC",2,0,0
"TAG094",1,"DSD",1,1,0.4
"TAG094",1,"DSD",2,5,2.2
"TAG094",1,"SVC",1,0,0
"TAG094",1,"SVC",2,3,1.7
"TAG095",1,"DSD",1,8,3.6
"TAG095",1,"DSD",2,13,5.8
"TAG095",1,"SVC",1,0,0
"TAG095",1,"SVC",2,3,1.7
"TAG099",1,"DSD",1,14,6.2
"TAG099",1,"DSD",2,28,12.4
"TAG099",1,"SVC",1,56,31.1
"TAG099",1,"SVC",2,35,19.4
"TAG100",1,"DSD",1,24,10.7
"TAG100",1,"DSD",2,22,9.8
"TAG100",1,"SVC",1,0,0
"TAG100",1,"SVC",2,5,2.8
"TAG101",1,"DSD",1,2,0.9
"TAG101",1,"DSD",2,2,0.9
"TAG101",1,"SVC",1,0,0
"TAG101",1,"SVC",2,0,0
"TAG102",1,"DSD",1,2,0.9
"TAG102",1,"DSD",2,3,1.3
"TAG102",1,"SVC",1,0,0
"TAG102",1,"SVC",2,1,0.6
"TAG103",1,"DSD",1,6,2.7
"TAG103",1,"DSD",2,3,1.3
"TAG103",1,"SVC",1,0,0
"TAG103",1,"SVC",2,0,0
"TAG104",1,"DSD",1,6,2.7
"TAG104",1,"DSD",2,17,7.6
"TAG104",1,"SVC",1,15,8.3
"TAG104",1,"SVC",2,14,7.8
"TAG105",1,"DSD",1,24,12
"TAG105",1,"DSD",2,66,33.2
"TAG105",1,"SVC",1,19,10.6
"TAG105",1,"SVC",2,6,3.3
"TAG106",1,"DSD",1,22,9.8
"TAG106",1,"DSD",2,37,16.4
"TAG106",1,"SVC",1,9,5
"TAG106",1,"SVC",2,11,6.1
"TAG107",1,"DSD",1,4,1.8
"TAG107",1,"DSD",2,48,21.3
"TAG107",1,"SVC",1,0,0
"TAG107",1,"SVC",2,2,1.1
"TAG109",1,"DSD",1,0,0
"TAG109",1,"DSD",2,7,3.1
"TAG109",1,"SVC",1,0,0
"TAG109",1,"SVC",2,12,6.7
"TAG110",1,"DSD",1,1,0.4
"TAG110",1,"SVC",1,0,0
"TAG110",1,"SVC",2,0,0
"TAG111",1,"DSD",1,21,9.3
"TAG111",1,"DSD",2,1,0.4
"TAG111",1,"SVC",1,3,1.7
"TAG111",1,"SVC",2,0,0
"TAG112",1,"DSD",1,39,17.3
"TAG112",1,"DSD",2,45,20
"TAG112",1,"SVC",1,20,11.1
"TAG112",1,"SVC",2,25,13.9
"TAG113",1,"DSD",1,131,58.2
"TAG113",1,"SVC",1,56,31.1
"TAG113",1,"SVC",2,67,37.2
"TAG114",1,"DSD",1,4,1.8
"TAG114",1,"DSD",2,12,5.3
"TAG114",1,"SVC",1,6,3.3
"TAG114",1,"SVC",2,16,9.8
"TAG116",1,"DSD",1,18,8
"TAG116",1,"DSD",2,22,9.8
"TAG116",1,"SVC",1,1,0.6
"TAG116",1,"SVC",2,2,1.1
"TAG119",1,"DSD",1,23,10.2
"TAG119",1,"DSD",2,35,15.6
"TAG119",1,"SVC",1,17,9.4
"TAG119",1,"SVC",2,9,5
"TAG120",1,"DSD",1,5,2.2
"TAG120",1,"DSD",2,10,4.4
"TAG120",1,"SVC",1,2,1.1
"TAG120",1,"SVC",2,4,2.2
"TAG122",1,"DSD",1,12,5.3
"TAG122",1,"DSD",2,26,11.6
"TAG122",1,"SVC",1,14,7.8
"TAG122",1,"SVC",2,19,10.6
"TAG124",1,"DSD",1,21,9.3
"TAG124",1,"DSD",2,22,9.8
"TAG124",1,"SVC",1,5,2.8
"TAG124",1,"SVC",2,17,9.4
"TAG125",1,"DSD",1,7,3.1
"TAG125",1,"DSD",2,8,3.6
"TAG125",1,"SVC",1,4,2.2
"TAG125",1,"SVC",2,13,7.2
"TAG127",1,"DSD",1,0,0
"TAG127",1,"DSD",2,9,4
"TAG127",1,"SVC",1,2,1.1
"TAG127",1,"SVC",2,12,6.7
"TAG130",1,"DSD",1,6,2.7
"TAG130",1,"DSD",2,7,3.1
"TAG130",1,"SVC",1,1,0.6
"TAG130",1,"SVC",2,10,5.6
"TAG131",1,"DSD",1,44,19.6
"TAG131",1,"DSD",2,85,37.8
"TAG131",1,"SVC",1,10,5.6
"TAG131",1,"SVC",2,19,10.6
"TAG132",1,"DSD",1,0,0
"TAG132",1,"DSD",2,0,0
"TAG132",1,"SVC",1,3,1.7
"TAG132",1,"SVC",2,0,0
"TAG137",1,"DSD",1,53,23.6
"TAG137",1,"DSD",2,81,36
"TAG137",1,"SVC",1,12,6.7
"TAG137",1,"SVC",2,20,11.1
"TAG138",1,"DSD",1,61,27.1
"TAG138",1,"DSD",2,11,4.9
"TAG138",1,"SVC",1,4,2.2
"TAG138",1,"SVC",2,15,8.3
"TAG140",1,"DSD",1,7,3.1
"TAG140",1,"SVC",1,0,0
"TAG140",1,"SVC",2,0,0
"TAG141",1,"DSD",1,23,10.2
"TAG141",1,"DSD",2,32,14.2
"TAG141",1,"SVC",1,4,2.2
"TAG141",1,"SVC",2,4,2.2
"TAG143",1,"DSD",1,36,16
"TAG143",1,"DSD",2,65,28.9
"TAG143",1,"SVC",1,10,5.6
"TAG143",1,"SVC",2,11,6.1
"TAG144",1,"DSD",1,9,4
"TAG144",1,"DSD",2,9,4
"TAG144",1,"SVC",1,0,0
"TAG144",1,"SVC",2,2,1.1
"TAG145",1,"DSD",1,4,1.8
"TAG145",1,"DSD",2,3,1.3
"TAG145",1,"SVC",1,0,0
"TAG145",1,"SVC",2,2,1.1
"TAG147",1,"DSD",1,0,0
"TAG147",1,"DSD",2,5,2.2
"TAG147",1,"SVC",1,3,1.7
"TAG147",1,"SVC",2,3,1.7
"TAG149",1,"DSD",1,5,2.2
"TAG149",1,"DSD",2,10,4.4
"TAG149",1,"SVC",1,5,2.8
"TAG149",1,"SVC",2,11,6.1
"TAG152",1,"DSD",1,27,12
"TAG152",1,"DSD",2,17,7.6
"TAG152",1,"SVC",1,13,7.2
"TAG152",1,"SVC",2,1,0.6
"TAG155",1,"DSD",1,5,2.2
"TAG155",1,"DSD",2,0,0
"TAG155",1,"SVC",1,5,2.8
"TAG155",1,"SVC",2,6,3.3
"TAG159",1,"DSD",1,0,0
"TAG159",1,"DSD",2,3,1.3
"TAG159",1,"SVC",1,4,2.2
"TAG159",1,"SVC",2,2,1.1
"TAG160",1,"DSD",1,8,3.6
"TAG160",1,"DSD",2,12,5.3
"TAG160",1,"SVC",1,2,1.1
"TAG160",1,"SVC",2,7,3.9
"TAG164",1,"DSD",1,0,0
"TAG164",1,"DSD",2,5,2.2
"TAG164",1,"SVC",1,0,0
"TAG164",1,"SVC",2,1,0.6
"TAG165",1,"DSD",1,52,23.1
"TAG165",1,"DSD",2,49,21.8
"TAG165",1,"SVC",1,21,11.7
"TAG165",1,"SVC",2,10,5.6
"TAG166",1,"DSD",1,0,0
"TAG166",1,"DSD",2,2,0.9
"TAG166",1,"SVC",1,4,2.2
"TAG166",1,"SVC",2,4,2.2
"TAG167",1,"DSD",1,1,0.4
"TAG167",1,"DSD",2,13,5.8
"TAG167",1,"SVC",1,0,0
"TAG167",1,"SVC",2,0,0
"TAG169",1,"DSD",1,11,4.9
"TAG169",1,"DSD",2,15,6.7
"TAG169",1,"SVC",1,5,2.8
"TAG169",1,"SVC",2,3,1.7
"TAG173",1,"DSD",2,2,0.9
"TAG173",1,"SVC",1,2,1.1
"TAG173",1,"SVC",2,4,2.2
"TAG174",1,"DSD",1,28,12.4
"TAG174",1,"DSD",2,30,13.3
"TAG174",1,"SVC",1,4,2.2
"TAG174",1,"SVC",2,8,4.4
"TAG175",1,"DSD",1,26,11.6
"TAG175",1,"DSD",2,26,11.6
"TAG175",1,"SVC",1,0,0
"TAG175",1,"SVC",2,5,2.8
"TAG176",1,"DSD",1,29,12.9
"TAG176",1,"DSD",2,64,28.4
"TAG176",1,"SVC",1,6,3.3
"TAG176",1,"SVC",2,0,0
"TAG177",1,"SVC",1,2,18.2
"TAG179",1,"DSD",1,1,0.4
"TAG179",1,"DSD",2,3,1.3
"TAG179",1,"SVC",1,1,0.6
"TAG179",1,"SVC",2,0,0
"TAG180",1,"DSD",1,0,0
"TAG180",1,"DSD",2,1,0.4
"TAG180",1,"SVC",1,0,0
"TAG180",1,"SVC",2,0,0
"TAG181",1,"DSD",1,3,1.3
"TAG181",1,"DSD",2,11,4.9
"TAG181",1,"SVC",1,4,2.2
"TAG181",1,"SVC",2,2,1.1
"TAG186",1,"DSD",1,40,17.8
"TAG186",1,"DSD",2,50,22.2
"TAG186",1,"SVC",1,7,3.9
"TAG186",1,"SVC",2,35,19.4
"TAG188",1,"DSD",1,13,5.8
"TAG188",1,"SVC",1,20,11.1
"TAG188",1,"SVC",2,79,43.9
"TAG190",1,"DSD",1,87,38.7
"TAG190",1,"DSD",2,91,40.4
"TAG190",1,"SVC",1,14,7.8
"TAG190",1,"SVC",2,22,12.2
"TAG192",1,"DSD",1,70,31.1
"TAG192",1,"DSD",2,109,48.4
"TAG192",1,"SVC",1,19,10.6
"TAG192",1,"SVC",2,49,27.2
"TAG194",1,"DSD",1,5,2.2
"TAG194",1,"DSD",2,14,6.2
"TAG194",1,"SVC",1,3,1.7
"TAG194",1,"SVC",2,5,2.8
"TAG200",1,"DSD",1,13,5.8
"TAG200",1,"DSD",2,18,8
"TAG200",1,"SVC",1,5,2.8
"TAG200",1,"SVC",2,5,2.8
"TAG202",1,"DSD",1,1,0.4
"TAG202",1,"DSD",2,14,6.6
"TAG202",1,"SVC",1,1,0.6
"TAG202",1,"SVC",2,12,6.7
"TAG203",1,"DSD",1,11,4.9
"TAG203",1,"DSD",2,6,2.7
"TAG203",1,"SVC",1,2,1.1
"TAG203",1,"SVC",2,6,3.3
"TAG206",1,"DSD",1,0,0
"TAG206",1,"DSD",2,51,22.7
"TAG206",1,"SVC",1,1,0.6
"TAG206",1,"SVC",2,1,0.6
"TAG207",1,"DSD",1,4,1.8
"TAG207",1,"DSD",2,8,3.6
"TAG207",1,"SVC",1,2,1.1
"TAG207",1,"SVC",2,5,2.8
"TAG208",1,"DSD",1,1,0.4
"TAG208",1,"DSD",2,3,1.3
"TAG208",1,"SVC",1,0,0
"TAG208",1,"SVC",2,0,0
"TAG209",1,"DSD",1,0,0
"TAG209",1,"DSD",2,1,0.4
"TAG209",1,"SVC",1,0,0
"TAG209",1,"SVC",2,0,0
"TAG210",1,"DSD",1,1,0.7
"TAG210",1,"DSD",2,5,2.2
"TAG210",1,"SVC",1,0,0
"TAG210",1,"SVC",2,0,0
"TAG211",1,"DSD",1,11,4.9
"TAG211",1,"DSD",2,10,4.4
"TAG211",1,"SVC",1,0,0
"TAG211",1,"SVC",2,15,8.3
"TAG215",1,"DSD",1,10,4.4
"TAG215",1,"DSD",2,9,4
"TAG215",1,"SVC",1,1,0.6
"TAG215",1,"SVC",2,0,0
"TAG218",1,"DSD",1,1,0.4
"TAG218",1,"DSD",2,0,0
"TAG218",1,"SVC",1,0,0
"TAG218",1,"SVC",2,0,0
"TAG220",1,"DSD",1,3,1.3
"TAG220",1,"DSD",2,3,1.3
"TAG220",1,"SVC",1,0,0
"TAG220",1,"SVC",2,0,0
"TAG221",1,"DSD",1,13,5.8
"TAG221",1,"DSD",2,30,13.3
"TAG221",1,"SVC",1,9,5
"TAG221",1,"SVC",2,20,11.1
"TAG223",1,"DSD",1,0,0
"TAG223",1,"DSD",2,0,0
"TAG223",1,"SVC",1,0,0
"TAG223",1,"SVC",2,0,0
"TAG224",1,"DSD",1,0,0
"TAG224",1,"DSD",2,5,2.2
"TAG224",1,"SVC",1,16,8.9
"TAG224",1,"SVC",2,0,0
"TAG225",1,"DSD",1,11,4.9
"TAG225",1,"DSD",2,50,22.2
"TAG225",1,"SVC",1,0,0
"TAG225",1,"SVC",2,2,1.1
"TAG232",1,"DSD",1,14,6.2
"TAG232",1,"DSD",2,19,8.4
"TAG232",1,"SVC",1,1,0.6
"TAG232",1,"SVC",2,5,2.8
"TAG233",1,"SVC",1,39,21.7
"TAG233",1,"SVC",2,107,59.4
"TAG238",1,"DSD",1,1,0.4
"TAG238",1,"DSD",2,1,0.4
"TAG238",1,"SVC",1,0,0
"TAG238",1,"SVC",2,0,0
"TAG240",1,"DSD",1,5,2.2
"TAG240",1,"DSD",2,32,14.2
"TAG240",1,"SVC",1,0,0
"TAG240",1,"SVC",2,7,3.9
"TAG243",1,"DSD",1,0,0
"TAG243",1,"DSD",2,0,0
"TAG243",1,"SVC",1,0,0
"TAG243",1,"SVC",2,0,0
"TAG244",1,"DSD",1,128,56.9
"TAG244",1,"DSD",2,85,37.8
"TAG244",1,"SVC",1,9,5
"TAG244",1,"SVC",2,28,15.6
"TAG247",1,"SVC",1,40,22.2
"TAG250",1,"DSD",1,2,0.9
"TAG250",1,"DSD",2,11,4.9
"TAG250",1,"SVC",1,1,0.6
"TAG250",1,"SVC",2,3,1.7
"TAG253",1,"DSD",1,9,4
"TAG253",1,"DSD",2,40,17.8
"TAG253",1,"SVC",1,13,7.2
"TAG253",1,"SVC",2,10,5.6
"TAG261",1,"SVC",1,30,16.7
"TAG261",1,"SVC",2,88,48.9
"TAG266",1,"DSD",1,1,0.4
"TAG266",1,"DSD",2,0,0
"TAG266",1,"SVC",1,0,0
"TAG266",1,"SVC",2,0,0
NA,NA,NA,NA,126,14
